value_norm,Akkademia_df,CDLI_df,Cuneiml_df,Nuolenna_df,TextFabric_df,osl_df,wiki_df,oslID
1/2(aš@t),,,,,,󰁅,,
1/2(ban₂),,,,,,𒈦,,
1/2(barig@c),,,,,,None,,
1/2(bariga@c),,,,,,None,,
1/2(disz),𒈦,𒈦,𒈦,,,,,
1/2(disz@c),𒈦,𒈦,,,,,,
1/2(diš),𒈦,,,𒈦,,𒈦,,
1/2(diš)@v,,,,,,𒁇,,
1/2(diš@c),𒈦,,,𒈦,,󰁅,,
1/2(diš@t),,,,,,󰁅,,
1/2(diš@t)~a,,,,,,󰁁,,
1/2(iku),𒀹,,,𒀹,,𒀹,,
1/2(iku@c),,,,,,𒁹,,
1/2(iku@c@v),,,,,,None,,
1/2(iku@t),,,,,,𒑣,,
1/3,,𒑚,𒑚,𒑚,𒑚,,,
1/3(aš),,,,,,𒑚,,
1/3(aš@c),,,,,,𒑝,,
1/3(aš@c@90),,,,,,𒑝,,
1/3(aš@c@v),,,,,,𒉜,,
1/3(aš@v),,,,,,𒉜,,
1/3(disz),𒑚,𒑚,𒑚,,,,,
1/3(disz@c),𒑝,𒑝,,,,,,
1/3(diš),𒑚,,,𒑚,,𒑚,,
1/3(diš@c),𒑝,,,𒑝,,𒑝,,
1/3(iku),,,,,,𒑚,,
1/3(|ninda₂×(še.1(aš))|),,,,,,𒉜,,
1/3(|ninda₂×(še.aš)|),,,,,,𒉜,,
1/36,,,,,𒋢,,,
1/3600,,,,,𒁹,,,
1/4,𒑢,,𒑢,𒑢,𒑢,,,
1/4(aš@c),,,,,,𒑠,,
1/4(aš@c)~a,,,,,,None,,
1/4(diš@c),,,,,,󰁅,,
1/4(iku),𒑠,,,𒑠,,𒑠,,
1/4(iku@c),,,,,,𒑠,,
1/4(iku@c@v),,,,,,𒑠,,
1/4(iku@t),,,,,,󰀕,,
1/6,𒑡,,,𒑡,𒂠。𒆪。𒋙。𒌆。𒐋。𒑡,,,
1/6(diš)@v,,,,,,𒑣,,
1/60,,,,,𒁹,,,
1/8,𒑟,,,𒑟,,,,
1/8(iku),,,,,,𒑟,,
1/8(iku@c),,,,,,𒑟,,
1/8(iku@c@v),,,,,,𒑟,,
10,,𒌋,𒌋,𒌋,𒌋,,,
10 1,,,𒌋 𒁹,,,,,
10 1:30,,,𒌋 𒁹 𒌍,,,,,
10 i,,,𒌋 𒄿,,,,,
10(bur₃@c),,,,,,󰀓,,
10/3600,,,,,𒌋,,,
10/60,,,,,𒌋,,,
100,,𒐕𒐏,𒐕 𒐏,𒐕𒐏,𒈨,,,
1000,,𒐞𒐚𒐏,𒐞 𒐚 𒐏,𒐞𒐚𒐏,𒅆,,,
1001,,,𒐞 𒐚 𒐏 𒁹,,,,,
1002,,,𒐞 𒐚 𒐏 𒈫,,,,,
1003,,,𒐞 𒐚 𒐏 𒐈,,,,,
1004,,,𒐞 𒐚 𒐏 𒐉,,,,,
1005,,,𒐞 𒐚 𒐏 𒐊,,,,,
1006,,,𒐞 𒐚 𒐏 𒐋,,,,,
1007,,,𒐞 𒐚 𒐏 𒐌,,,,,
1008,,,𒐞 𒐚 𒐏 𒐍,,,,,
1009,,,𒐞 𒐚 𒐏 𒑆,,,,,
101,,,𒐕 𒐏 𒁹,,,,,
1010,,,𒐞 𒐚 𒐐,,,,,
1011,,,𒐞 𒐚 𒐐 𒁹,,,,,
1012,,,𒐞 𒐚 𒐐 𒈫,,,,,
1013,,,𒐞 𒐚 𒐐 𒐈,,,,,
1014,,,𒐞 𒐚 𒐐 𒐉,,,,,
1015,,,𒐞 𒐚 𒐐 𒐊,,,,,
1016,,,𒐞 𒐚 𒐐 𒐋,,,,,
1017,,,𒐞 𒐚 𒐐 𒐌,,,,,
1018,,,𒐞 𒐚 𒐐 𒐍,,,,,
1019,,,𒐞 𒐚 𒐐 𒑆,,,,,
102,,𒐕𒐏𒈫,𒐕 𒐏 𒈫,𒐕𒐏𒈫,,,,
1020,,,𒐞 𒐛,,,,,
1021,,,𒐞 𒐛 𒁹,,,,,
1022,,,𒐞 𒐛 𒈫,,,,,
1023,,,𒐞 𒐛 𒐈,,,,,
1024,,,𒐞 𒐛 𒐉,,,,,
1025,,,𒐞 𒐛 𒐊,,,,,
1026,,,𒐞 𒐛 𒐋,,,,,
1027,,,𒐞 𒐛 𒐌,,,,,
1028,,,𒐞 𒐛 𒐍,,,,,
1029,,,𒐞 𒐛 𒑆,,,,,
103,,,𒐕 𒐏 𒐈,,,,,
1030,,,𒐞 𒐛 𒌋,,,,,
1031,,,𒐞 𒐛 𒌋 𒁹,,,,,
1032,,,𒐞 𒐛 𒌋 𒈫,,,,,
1033,,,𒐞 𒐛 𒌋 𒐈,,,,,
1034,,,𒐞 𒐛 𒌋 𒐉,,,,,
1035,,,𒐞 𒐛 𒌋 𒐊,,,,,
1036,,,𒐞 𒐛 𒌋 𒐋,,,,,
1037,,,𒐞 𒐛 𒌋 𒐌,,,,,
